airtime,selected_mcs,txgain,pm_power
1.0,23,68,15.177416
1.0,0,68,13.1388906666667
1.0,5,68,13.2050653333333
1.0,9,68,13.9784866666667
1.0,14,68,14.1922773333333
1.0,18,68,14.0920026666667
1.0,23,68,14.5819733333333
1.0,0,68,13.1133026666667
1.0,5,68,13.1620933333333
1.0,9,68,13.4406386666667
1.0,14,68,13.8715053333333
1.0,18,68,15.121508
1.0,23,68,14.6143613333333
1.0,0,68,13.1632226666667
1.0,5,68,13.244868
1.0,9,68,13.5055626666667
1.0,14,68,13.8047893333333
1.0,18,68,14.1168306666667
1.0,23,68,14.678316
1.0,0,63,12.9854186666667
1.0,5,63,13.22204
1.0,9,63,13.485816
1.0,14,63,13.888136
1.0,18,63,14.0496
1.0,23,63,14.6222226666667
1.0,0,63,13.145472
1.0,5,63,13.2138213333333
1.0,9,63,13.4867573333333
1.0,14,63,13.84832
1.0,18,63,13.9920306666667
1.0,23,63,14.649976
1.0,0,63,13.120452
1.0,5,63,13.216316
1.0,9,63,13.467076
1.0,14,63,13.8556253333333
1.0,18,63,13.9703973333333
1.0,23,63,14.642472
1.0,0,63,13.146216
1.0,5,63,13.257
1.0,9,63,13.5023813333333
1.0,14,63,13.841448
1.0,18,63,14.1022453333333
1.0,23,63,14.5576253333333
1.0,0,63,13.162684
1.0,5,63,13.2128253333333
1.0,9,63,13.4941173333333
1.0,14,63,13.7927693333333
1.0,18,63,14.1231026666667
1.0,23,63,14.6830546666667
1.0,0,63,13.105988
1.0,5,63,13.2167
1.0,9,63,13.518284
1.0,14,63,13.87478
1.0,18,63,14.132908
1.0,23,63,14.6538266666667
1.0,0,58,13.075564
1.0,5,58,13.261504
1.0,9,58,13.3247333333333
1.0,14,58,13.8846853333333
1.0,18,58,14.1344746666667
1.0,23,58,14.6399053333333
1.0,0,58,13.1115933333333
1.0,5,58,13.19168
1.0,9,58,13.5013386666667
1.0,14,58,13.854664
1.0,18,58,13.981428
1.0,23,58,14.6339933333333
1.0,0,58,13.033004
1.0,5,58,13.2674586666667
1.0,9,58,13.493376
1.0,14,58,13.843896
1.0,18,58,14.1033413333333
1.0,23,58,14.6617853333333
1.0,0,58,13.0811253333333
1.0,5,58,13.2981773333333
1.0,9,58,13.460588
1.0,14,58,13.7038906666667
1.0,18,58,14.1083413333333
1.0,23,58,14.6471693333333
1.0,0,58,13.1630173333333
1.0,5,58,13.240116
1.0,9,58,13.5356493333333
1.0,14,58,13.8100173333333
1.0,18,58,14.1459226666667
1.0,23,58,14.543124
1.0,0,58,13.1371466666667
1.0,5,58,13.3509586666667
1.0,9,58,13.396128
1.0,14,58,13.843404
1.0,18,58,14.071212
1.0,23,58,14.6416853333333
1.0,0,53,13.1073146666667
1.0,5,53,13.1337546666667
1.0,9,53,13.491828
1.0,14,53,13.8773626666667
1.0,18,53,14.0968946666667
1.0,23,53,14.6065826666667
1.0,0,53,13.149776
1.0,5,53,14.1958266666667
1.0,9,53,13.6379546666667
1.0,14,53,14.8131293333333
1.0,18,53,14.0520706666667
1.0,23,53,14.615144
1.0,0,53,13.1481906666667
1.0,5,53,14.2710293333333
1.0,9,53,13.4950533333333
1.0,14,53,13.8663893333333
1.0,18,53,14.4152333333333
1.0,23,53,15.2929013333333
1.0,0,53,13.137144
1.0,5,53,13.302512
1.0,9,53,13.4678266666667
1.0,14,53,13.8520813333333
1.0,18,53,14.092396
1.0,23,53,14.5664293333333
1.0,0,53,13.146464
1.0,5,53,13.281244
1.0,9,53,13.3876266666667
1.0,14,53,13.8124773333333
1.0,18,53,14.1495346666667
1.0,23,53,14.7273853333333
1.0,0,53,14.049092
1.0,5,53,13.5047813333333
1.0,9,53,14.2560813333333
1.0,14,53,13.85374
1.0,18,53,14.1818306666667
1.0,23,53,14.593872
1.0,0,48,12.9502733333333
1.0,5,48,13.2709773333333
1.0,9,48,13.450064
1.0,14,48,13.864516
1.0,18,48,14.0895413333333
1.0,23,48,14.599192
1.0,0,48,13.096456
1.0,5,48,13.223404
1.0,9,48,13.3491173333333
1.0,14,48,13.863328
1.0,18,48,14.094368
1.0,23,48,14.5695533333333
1.0,0,48,13.1538626666667
1.0,5,48,13.2729546666667
1.0,9,48,13.403548
1.0,14,48,13.898668
1.0,18,48,14.1446733333333
1.0,23,48,14.6168573333333
1.0,0,48,13.1387893333333
1.0,5,48,13.321388
1.0,9,48,13.4784933333333
1.0,14,48,13.896408
1.0,18,48,14.1100413333333
1.0,23,48,14.673
1.0,0,48,13.1375293333333
1.0,5,48,13.318052
1.0,9,48,13.4931946666667
1.0,14,48,13.846084
1.0,18,48,14.1399546666667
1.0,23,48,14.6677666666667
1.0,0,48,13.0859826666667
1.0,5,48,13.320364
1.0,9,48,13.5356653333333
1.0,14,48,13.9169426666667
1.0,18,48,14.168068
