airtime,selected_mcs,txgain,pm_power
0.1,23,46,11.39703
0.0,23,46,10.481620000000005
1.0,23,45,13.075490000000002
0.9,23,45,13.56745
0.8,23,45,13.26629
0.7,23,45,11.715390000000005
0.6,23,45,13.681079999999998
0.5,23,45,11.98513
0.4,23,45,11.68646
0.3,23,45,11.73699
0.2,23,45,10.48972
0.1,23,45,10.88785
0.0,23,45,10.5212
1.0,23,44,13.06451
0.9,23,44,12.69629
0.8,23,44,13.02119
0.7,23,44,12.386249999999997
0.6,23,44,11.90509
0.5,23,44,12.047820000000002
0.4,23,44,11.808280000000002
0.3,23,44,11.483209999999996
0.2,23,44,10.8873
0.1,23,44,10.49292
0.0,23,44,10.429589999999996
1.0,23,43,13.01912
0.9,23,43,12.98952
0.8,23,43,12.13767
0.7,23,43,11.613870000000002
0.6,23,43,12.99048
0.5,23,43,12.88003
0.4,23,43,11.990500000000004
0.3,23,43,11.4975
0.2,23,43,10.474489999999998
0.1,23,43,11.38135
0.0,23,43,10.579960000000003
1.0,23,42,12.960719999999997
0.9,23,42,12.796519999999996
0.8,23,42,12.498869999999997
0.7,23,42,11.623119999999997
0.6,23,42,12.13857
0.5,23,42,12.24889
0.4,23,42,11.582249999999997
0.3,23,42,11.17465
0.2,23,42,10.488509999999998
0.1,23,42,10.765440000000002
0.0,23,42,10.60464
1.0,23,41,12.877159999999998
0.9,23,41,12.637
0.8,23,41,12.82872
0.7,23,41,12.123660000000005
0.6,23,41,11.66645
0.5,23,41,12.15982
0.4,23,41,11.648829999999998
0.3,23,41,11.37475
0.2,23,41,10.644519999999998
0.1,23,41,10.43066
0.0,23,41,10.61804
1.0,23,40,12.64023
0.9,23,40,13.04584
0.8,23,40,12.14094
0.7,23,40,11.794209999999998
0.6,23,40,12.171590000000004
0.5,23,40,11.2943
0.4,23,40,11.86094
0.3,23,40,11.40158
0.2,23,40,10.62379
0.1,23,40,11.130990000000002
0.0,23,40,10.7176
1.0,23,39,12.562729999999998
0.9,23,39,12.785899999999996
0.8,23,39,11.98026
0.7,23,39,11.59119
0.6,23,39,12.6504
0.5,23,39,11.693270000000002
0.4,23,39,11.782070000000004
0.3,23,39,11.10435
0.2,23,39,10.59228
0.1,23,39,10.95228
0.0,23,39,10.627719999999997
1.0,23,38,12.54377
0.9,23,38,12.6839
0.8,23,38,12.211169999999996
0.7,23,38,11.509529999999998
0.6,23,38,12.15037
0.5,23,38,11.86822
0.4,23,38,11.51867
0.3,23,38,11.03811
0.2,23,38,10.49054
0.1,23,38,10.92164
0.0,23,38,10.48417
1.0,23,37,12.6126
0.9,23,37,12.3477
0.8,23,37,11.741069999999995
0.7,23,37,11.542980000000002
0.6,23,37,12.4559
0.5,23,37,11.514080000000002
0.4,23,37,11.65046
0.3,23,37,11.44511
0.2,23,37,10.37929
0.1,23,37,11.24319
0.0,23,37,10.642129999999998
1.0,23,36,12.67855
0.9,23,36,12.73371
0.8,23,36,13.344050000000005
