BW,traffic_load,airtime,selected_mcs,txgain,pm_power
50,24,0.7,23,60,11.775010000000002
50,24,0.6,23,60,12.558269999999998
50,24,0.5,23,60,11.513229999999998
50,24,0.4,23,60,11.664070000000002
50,24,0.3,23,60,11.774540000000002
50,24,0.2,23,60,10.43771
50,24,0.1,23,60,11.22654
50,24,0.0,23,60,10.74223
50,24,1.0,23,59,13.20797
50,24,0.9,23,59,13.322250000000002
50,24,0.8,23,59,12.73716
50,24,0.7,23,59,12.18769
50,24,0.6,23,59,11.79428
50,24,0.5,23,59,12.422220000000005
50,24,0.4,23,59,11.758810000000004
50,24,0.3,23,59,10.77766
50,24,0.2,23,59,10.99548
50,24,0.1,23,59,10.79771
50,24,0.0,23,59,10.64912
50,24,1.0,23,58,13.079929999999996
50,24,0.9,23,58,13.265620000000002
50,24,0.8,23,58,12.506809999999998
50,24,0.7,23,58,12.09856
50,24,0.6,23,58,12.389400000000002
50,24,0.5,23,58,11.441929999999996
50,24,0.4,23,58,11.843960000000004
50,24,0.3,23,58,12.517199999999995
50,24,0.2,23,58,10.751870000000002
50,24,0.1,23,58,11.198280000000002
50,24,0.0,23,58,10.60116
50,24,1.0,23,57,13.002990000000002
50,24,0.9,23,57,13.02371
50,24,0.8,23,57,12.91097
50,24,0.7,23,57,11.86499
50,24,0.6,23,57,12.350400000000004
50,24,0.5,23,57,11.84317
50,24,0.4,23,57,11.89679
50,24,0.3,23,57,11.55032
50,24,0.2,23,57,10.70512
50,24,0.1,23,57,11.006740000000002
50,24,0.0,23,57,10.59373
50,24,1.0,23,56,13.225130000000002
50,24,0.9,23,56,13.253270000000002
50,24,0.8,23,56,12.64481
50,24,0.7,23,56,12.0913
50,24,0.6,23,56,12.068870000000002
50,24,0.5,23,56,11.789690000000002
50,24,0.4,23,56,11.88555
50,24,0.3,23,56,10.99314
50,24,0.2,23,56,10.98627
50,24,0.1,23,56,11.36619
50,24,0.0,23,56,10.40506
50,24,1.0,23,55,13.297
50,24,0.9,23,55,12.69627
50,24,0.8,23,55,12.98689
50,24,0.7,23,55,12.55291
50,24,0.6,23,55,12.16655
50,24,0.5,23,55,11.92741
50,24,0.4,23,55,11.07818
50,24,0.3,23,55,11.643770000000002
50,24,0.2,23,55,11.392280000000005
50,24,0.1,23,55,10.56737
50,24,0.0,23,55,10.459809999999996
50,24,1.0,23,54,13.12601
50,24,0.9,23,54,13.01413
50,24,0.8,23,54,12.08953
50,24,0.7,23,54,12.117430000000002
50,24,0.6,23,54,12.901039999999998
50,24,0.5,23,54,11.69396
50,24,0.4,23,54,11.743049999999998
50,24,0.3,23,54,11.42715
50,24,0.2,23,54,10.50585
50,24,0.1,23,54,11.26827
50,24,0.0,23,54,10.81377
50,24,1.0,23,53,12.97284
50,24,0.9,23,53,13.153610000000004
50,24,0.8,23,53,12.848949999999997
50,24,0.7,23,53,12.36875
50,24,0.6,23,53,11.946529999999996
50,24,0.5,23,53,11.87819
50,24,0.4,23,53,11.863199999999996
50,24,0.3,23,53,11.20304
50,24,0.2,23,53,10.84107
50,24,0.1,23,53,10.80488
50,24,0.0,23,53,10.711080000000004
50,24,1.0,23,52,13.15778
50,24,0.9,23,52,13.179999999999998
50,24,0.8,23,52,12.14042
50,24,0.7,23,52,11.82817
50,24,0.6,23,52,12.842680000000003
50,24,0.5,23,52,12.04314
50,24,0.4,23,52,11.91945
50,24,0.3,23,52,11.088019999999998
50,24,0.2,23,52,10.57278
50,24,0.1,23,52,10.93297
50,24,0.0,23,52,10.63216
50,24,1.0,23,51,13.184509999999998
50,24,0.9,23,51,13.271029999999998
50,24,0.8,23,51,12.69519
50,24,0.7,23,51,12.13343
50,24,0.6,23,51,11.95576
50,24,0.5,23,51,12.055880000000002
50,24,0.4,23,51,11.86555
50,24,0.3,23,51,10.781899999999998
50,24,0.2,23,51,11.002150000000002
50,24,0.1,23,51,11.11025
50,24,0.0,23,51,10.393719999999998
50,24,1.0,23,50,13.128630000000005
50,24,0.9,23,50,13.198109999999996
50,24,0.8,23,50,12.72472
50,24,0.7,23,50,11.767690000000002
50,24,0.6,23,50,12.50039
50,24,0.5,23,50,11.41668
50,24,0.4,23,50,11.842700000000002
50,24,0.3,23,50,11.96127
50,24,0.2,23,50,10.572220000000002
50,24,0.1,23,50,11.170870000000004
50,24,0.0,23,50,10.60307
50,24,1.0,23,49,13.247559999999998
50,24,0.9,23,49,12.99875
50,24,0.8,23,49,12.84047
50,24,0.7,23,49,12.01238
50,24,0.6,23,49,12.059229999999998
50,24,0.5,23,49,12.378750000000002
50,24,0.4,23,49,11.779370000000002
50,24,0.3,23,49,10.988070000000002
50,24,0.2,23,49,10.68076
50,24,0.1,23,49,10.85255
50,24,0.0,23,49,10.469250000000002
50,24,1.0,23,48,13.046749999999998
50,24,0.9,23,48,13.07625
50,24,0.8,23,48,12.38733
50,24,0.7,23,48,11.858340000000004
50,24,0.6,23,48,12.514799999999996
50,24,0.5,23,48,11.4717
50,24,0.4,23,48,11.85853
50,24,0.3,23,48,11.91956
50,24,0.2,23,48,10.4781
50,24,0.1,23,48,11.259909999999998
50,24,0.0,23,48,10.85663
50,24,1.0,23,47,13.0188
50,24,0.9,23,47,13.19834
50,24,0.8,23,47,12.79174
50,24,0.7,23,47,12.255069999999998
50,24,0.6,23,47,11.866840000000002
50,24,0.5,23,47,12.23938
50,24,0.4,23,47,11.9206
50,24,0.3,23,47,10.832679999999998
50,24,0.2,23,47,11.067149999999996
